separate_mechanism	mover_ch	motion_en	time	date	mover_en	type	motion_ch	vote_number
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 6)	15:01:50	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號6）	[u'7']
Yes	劉慧卿	"AMENDMENT BY HON EMILY LAU TO HON CHARLES PETER MOK'S MOTION ON ""SAFEGUARDING FREEDOM OF INFORMATION, OF THE PRESS AND OF THE INTERNET"""	17:37:55	06/06/2013	Emily LAU	Member	劉慧卿議員對莫乃光議員的「捍衞資訊、新聞及網絡自由」議案作出的修正案	[u'12']
Yes	張超雄	"MOTION ON ""UNIVERSAL RETIREMENT PROTECTION SYSTEM"""	12:11:49	25/10/2012	Dr Fernando CHEUNG	Member	「全民退休保障制度」議案	[u'14']
Yes	黃碧雲	"AMENDMENT BY DR HON HELENA WONG TO DR HON KENNETH CHAN'S MOTION ON ""ENHANCING THE QUALITY AND QUANTITY OF LOCAL TERTIARY EDUCATION"""	22:02:31	27/06/2013	Dr Helena WONG	Member	黃碧雲議員對陳家洛議員的「提升本港專上教育質量」議案作出的修正案	[u'12']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 8)	15:04:13	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號8）	[u'8']
Yes	張超雄	"DR HON FERNANDO CHEUNG'S AMENDMENT TO DR HON ELIZABETH QUAT'S AMENDMENT TO HON CHARLES PETER MOK'S MOTION ON ""SAFEGUARDING FREEDOM OF INFORMATION, OF THE PRESS AND OF THE INTERNET"""	17:40:19	06/06/2013	Dr Fernando CHEUNG	Member	張超雄議員就葛珮帆議員對莫乃光議員的「捍衞資訊、新聞及網絡自由」議案所提修正案，作出的修正案	[u'13']
Yes	陳志全	"AMENDMENT BY HON CHAN CHI-CHUEN TO DR HON KENNETH CHAN'S MOTION ON ""ENHANCING THE QUALITY AND QUANTITY OF LOCAL TERTIARY EDUCATION"""	22:04:30	27/06/2013	CHAN Chi-chuen	Member	陳志全議員對陳家洛議員的「提升本港專上教育質量」議案作出的修正案	[u'13']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 9)	15:06:02	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號9）	[u'9']
Yes	葛珮帆	"AMENDMENT BY DR HON ELIZABETH QUAT TO HON CHARLES PETER MOK'S MOTION ON ""SAFEGUARDING FREEDOM OF INFORMATION, OF THE PRESS AND OF THE INTERNET"""	17:42:12	06/06/2013	Dr Elizabeth QUAT	Member	葛珮帆議員對莫乃光議員的「捍衞資訊、新聞及網絡自由」議案作出的修正案	[u'14']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 201)	11:05:19	15/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號201）	[u'180']
Yes	張超雄	"AMENDMENT BY DR HON FERNANDO CHEUNG TO DR HON KENNETH CHAN'S MOTION ON ""ENHANCING THE QUALITY AND QUANTITY OF LOCAL TERTIARY EDUCATION"""	22:06:25	27/06/2013	Dr Fernando CHEUNG	Member	張超雄議員對陳家洛議員的「提升本港專上教育質量」議案作出的修正案	[u'14']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 10)	15:07:53	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號10）	[u'10']
Yes	何秀蘭	"AMENDMENT BY HON CYD HO TO HON CHARLES PETER MOK'S MOTION ON ""SAFEGUARDING FREEDOM OF INFORMATION, OF THE PRESS AND OF THE INTERNET"""	17:44:48	06/06/2013	Cyd HO	Member	何秀蘭議員對莫乃光議員的「捍衞資訊、新聞及網絡自由」議案作出的修正案	[u'15']
Yes	陳偉業	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 202)	11:07:34	15/05/2013	Albert CHAN	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號202）	[u'181']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 11)	15:09:43	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號11）	[u'11']
Yes	陳家洛	"MOTION ON ""ENHANCING THE QUALITY AND QUANTITY OF LOCAL TERTIARY EDUCATION"""	22:08:21	27/06/2013	Dr Kenneth CHAN	Member	「提升本港專上教育質量」議案	[u'15']
Yes	莫乃光	"MOTION ON ""SAFEGUARDING FREEDOM OF INFORMATION, OF THE PRESS AND OF THE INTERNET"""	17:47:10	06/06/2013	Charles Peter MOK	Member	「捍衞資訊、新聞及網絡自由」議案	[u'16']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 12)	15:11:33	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號12）	[u'12']
Yes	陳偉業	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 203)	11:09:20	15/05/2013	Albert CHAN	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號203）	[u'182']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 13)	15:13:24	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號13）	[u'13']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 204)	11:11:05	15/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號204）	[u'183']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 14)	15:15:13	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號14）	[u'14']
Yes	梁國雄	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 205)	11:13:05	15/05/2013	LEUNG Kwok-hung	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號205）	[u'184']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 15)	15:17:02	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號15）	[u'15']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 206)	11:14:59	15/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號206）	[u'185']
Yes	梁國雄	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 207)	11:16:49	15/05/2013	LEUNG Kwok-hung	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號207）	[u'186']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 16)	15:18:55	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號16）	[u'16']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 208)	11:18:38	15/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號208）	[u'187']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 17)	15:20:44	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號17）	[u'17']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 209)	11:20:21	15/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號209）	[u'188']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 18)	15:22:33	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號18）	[u'18']
Yes	陳偉業	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 210)	11:29:43	15/05/2013	Albert CHAN	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號210）	[u'189']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 19)	15:24:22	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號19）	[u'19']
Yes	陳偉業	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 211)	11:31:39	15/05/2013	Albert CHAN	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號211）	[u'190']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 20)	15:26:11	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號20）	[u'20']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 212)	11:33:25	15/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號212）	[u'191']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 21)	15:28:01	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號21）	[u'21']
Yes	梁國雄	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 213)	11:35:36	15/05/2013	LEUNG Kwok-hung	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號213）	[u'192']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 22)	15:29:56	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號22）	[u'22']
Yes	梁國雄	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 214)	11:37:19	15/05/2013	LEUNG Kwok-hung	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號214）	[u'193']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 23)	15:31:44	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號23）	[u'23']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 215)	11:39:07	15/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號215）	[u'194']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 24)	15:33:29	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號24）	[u'24']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 216)	11:40:52	15/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號216）	[u'195']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 25)	15:35:15	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號25）	[u'25']
Yes	陳偉業	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 217)	11:42:35	15/05/2013	Albert CHAN	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號217）	[u'196']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 26)	15:37:02	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號26）	[u'26']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 218)	11:44:16	15/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號218）	[u'197']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 27)	15:38:50	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號27）	[u'27']
Yes	梁國雄	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 219)	11:46:09	15/05/2013	LEUNG Kwok-hung	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號219）	[u'198']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 28)	15:40:41	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號28）	[u'28']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 29)	15:42:39	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號29）	[u'29']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 220)	11:47:54	15/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號220）	[u'199']
Yes	梁國雄	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 221)	11:49:44	15/05/2013	LEUNG Kwok-hung	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號221）	[u'200']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 30)	15:44:31	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號30）	[u'30']
Yes	梁國雄	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 222)	11:51:36	15/05/2013	LEUNG Kwok-hung	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號222）	[u'201']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 31)	15:46:21	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號31）	[u'31']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 223)	11:53:21	15/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號223）	[u'202']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 32)	15:48:08	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號32）	[u'32']
Yes	梁國雄	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 224)	11:55:12	15/05/2013	LEUNG Kwok-hung	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號224）	[u'203']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 33)	15:49:58	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號33）	[u'33']
Yes	梁國雄	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 225)	11:57:07	15/05/2013	LEUNG Kwok-hung	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號225）	[u'204']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 34)	15:52:03	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號34）	[u'34']
Yes	梁國雄	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 226)	11:58:58	15/05/2013	LEUNG Kwok-hung	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號226）	[u'205']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 35)	15:53:53	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號35）	[u'35']
Yes	梁國雄	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 227)	12:00:54	15/05/2013	LEUNG Kwok-hung	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號227）	[u'206']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 36)	15:55:46	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號36）	[u'36']
Yes	梁國雄	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 228)	12:02:42	15/05/2013	LEUNG Kwok-hung	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號228）	[u'207']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 37)	15:57:34	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號37）	[u'37']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 229)	12:04:26	15/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號229）	[u'208']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 38)	15:59:23	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號38）	[u'38']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 230)	12:06:12	15/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號230）	[u'209']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 39)	16:01:15	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號39）	[u'39']
Yes	梁國雄	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 231)	12:07:57	15/05/2013	LEUNG Kwok-hung	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號231）	[u'210']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 40)	16:03:05	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號40）	[u'40']
Yes	梁國雄	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 232)	12:09:40	15/05/2013	LEUNG Kwok-hung	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號232）	[u'211']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 41)	16:05:01	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號41）	[u'41']
Yes	梁國雄	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 233)	12:11:27	15/05/2013	LEUNG Kwok-hung	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號233）	[u'212']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 42)	16:06:52	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號42）	[u'42']
Yes	梁國雄	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 234)	12:13:11	15/05/2013	LEUNG Kwok-hung	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號234）	[u'213']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 43)	16:08:43	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號43）	[u'43']
Yes	梁國雄	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 235)	12:14:57	15/05/2013	LEUNG Kwok-hung	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號235）	[u'214']
Yes	梁國雄	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 44)	16:10:41	14/05/2013	LEUNG Kwok-hung	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號44）	[u'44']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 46)	16:12:34	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號46）	[u'45']
Yes	梁國雄	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 53 (VOTE NO. 236)	12:16:45	15/05/2013	LEUNG Kwok-hung	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目53的修正案 （表決編號236）	[u'215']
Yes	陳偉業	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 55 (VOTE NO. 237)	12:18:33	15/05/2013	Albert CHAN	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目55的修正案 （表決編號237）	[u'216']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 47)	16:14:21	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號47）	[u'46']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 48)	16:16:09	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號48）	[u'47']
Yes	陳偉業	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 55 (VOTE NO. 238)	12:20:20	15/05/2013	Albert CHAN	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目55的修正案 （表決編號238）	[u'217']
Yes	陳偉業	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 55 (VOTE NO. 239)	12:22:08	15/05/2013	Albert CHAN	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目55的修正案 （表決編號239）	[u'218']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 49)	16:17:57	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號49）	[u'48']
Yes	陳偉業	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 55 (VOTE NO. 240)	12:23:49	15/05/2013	Albert CHAN	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目55的修正案 （表決編號240）	[u'219']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 50)	16:19:45	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號50）	[u'49']
Yes	梁國雄	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 59 (VOTE NO. 241)	12:25:39	15/05/2013	LEUNG Kwok-hung	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目59的修正案 （表決編號241）	[u'220']
Yes	陳志全	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 21 (VOTE NO. 51)	16:21:35	14/05/2013	CHAN Chi-chuen	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目21的修正案 （表決編號51）	[u'50']
Yes	梁國雄	APPROPRIATION BILL 2013 - COMMITTEE STAGE - AMENDMENT TO HEAD 59 (VOTE NO. 242)	12:27:27	15/05/2013	LEUNG Kwok-hung	Member	《2013年撥款條例草案》－ 全體委員會審議階段 － 總目59的修正案 （表決編號242）	[u'221']
